year,month,avg(value)
2015,8,1503739.0243304744
2015,9,604834.0729842447
2015,10,153535.2489613295
2015,11,77677.81201235998
2015,12,46046.71263493307
2016,1,48018.70823057309
2016,2,125393.95965538392
2016,3,184505.71446750397
2016,4,166327.6265977537
2016,5,187637.00723132113
2016,6,59980.26306162979
2016,7,128614.38043975564
2016,8,146541.62475316587
2016,9,39401.67319191602
2016,10,33201.51283663155
2016,11,10547.427560041295
2016,12,30268.639088584438
2017,1,22757.634071952016
2017,2,64043.55528563268
2017,3,16579.095611973942
2017,4,46667.36938276663
2017,5,42321.80276728874
2017,6,72979.52888261859
2017,7,26761.202907460312
2017,8,21536.317592751486
2017,9,13167.803253576405
2017,10,38894.82767336188
2017,11,45246.44488853338
2017,12,49610.52545557561
2018,1,23890.6925731087
2018,2,255870.81421159787
2018,3,90646.40703419135
2018,4,119333.65004453239
2018,5,102316.2266196096
2018,6,94923.43435703547
2018,7,84790.60471839695
2018,8,618190.4144367203
2018,9,120696.90148215674
2018,10,50795.22207921362
2018,11,39080.55555912612
2018,12,43463.38829673359
2019,1,10926.656733904021
